organization_name,organization_abbr,organization_type,person_official_id,person_name,membership_type,start_date,end_date
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,125110,Nikos ANDROULAKIS,Substitute,2019-07-02,2020-02-09
Committee on Foreign Affairs,AFET,Committee,125110,Nikos ANDROULAKIS,Substitute,2019-07-02,2022-01-19
Committee on Fisheries,PECH,Committee,125110,Nikos ANDROULAKIS,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Mercosur,DMER,Delegation,125110,Nikos ANDROULAKIS,Substitute,2019-07-02,2023-05-02
Committee on International Trade,INTA,Committee,125110,Nikos ANDROULAKIS,Substitute,2020-02-10,2022-01-19
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,125110,Nikos ANDROULAKIS,Substitute,2020-09-14,2022-03-23
Committee on Foreign Affairs,AFET,Committee,125110,Nikos ANDROULAKIS,Substitute,2022-01-20,2023-05-02
Committee on Fisheries,PECH,Committee,125110,Nikos ANDROULAKIS,Substitute,2022-01-20,2023-05-02
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,125110,Nikos ANDROULAKIS,Substitute,2022-03-24,2023-05-02
European Parliament,EP,Institution of the EU,202073,Marc ANGEL,Vice-President,2023-01-18,
Committee on Employment and Social Affairs,EMPL,Committee,202073,Marc ANGEL,Vice-Chair,2022-02-28,2023-01-23
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,202073,Marc ANGEL,Member,2019-12-16,2020-02-11
Committee on Employment and Social Affairs,EMPL,Committee,202073,Marc ANGEL,Member,2019-12-16,2022-01-19
Delegation to the EU-Chile Joint Parliamentary Committee,D-CL,Delegation,202073,Marc ANGEL,Member,2020-02-12,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,202073,Marc ANGEL,Member,2020-02-12,
Committee on Petitions,PETI,Committee,202073,Marc ANGEL,Member,2020-07-08,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,202073,Marc ANGEL,Member,2022-01-20,2022-02-27
Committee on Petitions,PETI,Committee,202073,Marc ANGEL,Member,2022-01-20,
Parliament's Bureau,BURO,Political Body,202073,Marc ANGEL,Member,2023-01-18,
Committee on Employment and Social Affairs,EMPL,Committee,202073,Marc ANGEL,Member,2023-01-24,
Committee on Economic and Monetary Affairs,ECON,Committee,202073,Marc ANGEL,Substitute,2019-12-11,2022-01-19
Delegation for Relations with the People's Republic of China,D-CN,Delegation,202073,Marc ANGEL,Substitute,2019-12-11,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,202073,Marc ANGEL,Substitute,2020-02-10,2022-01-19
Special Committee on Beating Cancer,BECA,Special Committee,202073,Marc ANGEL,Substitute,2020-09-14,2022-03-23
Committee on Economic and Monetary Affairs,ECON,Committee,202073,Marc ANGEL,Substitute,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,202073,Marc ANGEL,Substitute,2022-01-20,
Committee on Constitutional Affairs,AFCO,Committee,124973,Gerolf ANNEMANS,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,124973,Gerolf ANNEMANS,Member,2019-07-02,
Committee on Economic and Monetary Affairs,ECON,Committee,124973,Gerolf ANNEMANS,Member,2021-10-06,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,124973,Gerolf ANNEMANS,Member,2022-01-20,
Committee on Constitutional Affairs,AFCO,Committee,124973,Gerolf ANNEMANS,Member,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,124973,Gerolf ANNEMANS,Substitute,2019-07-02,2021-10-05
Committee on the Internal Market and Consumer Protection,IMCO,Committee,124696,Andrus ANSIP,Vice-Chair,2020-10-26,2022-01-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,124696,Andrus ANSIP,Vice-Chair,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,124696,Andrus ANSIP,Member,2019-07-02,2020-10-25
Delegation for Relations with the Pan-African Parliament,DPAP,Delegation,124696,Andrus ANSIP,Member,2019-07-02,
Committee on Petitions,PETI,Committee,124696,Andrus ANSIP,Member,2020-05-15,2021-04-25
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,124696,Andrus ANSIP,Member,2020-09-14,2022-03-23
"Committee on Industry, Research and Energy",ITRE,Committee,124696,Andrus ANSIP,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Israel,D-IL,Delegation,124696,Andrus ANSIP,Substitute,2019-07-02,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,124696,Andrus ANSIP,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,124696,Andrus ANSIP,Substitute,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,197587,Attila ARA-KOVÁCS,Member,2019-07-02,2022-01-19
Subcommittee on Security and Defence,SEDE,Subcommittee,197587,Attila ARA-KOVÁCS,Member,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197587,Attila ARA-KOVÁCS,Member,2019-07-02,
Committee on Agriculture and Rural Development,AGRI,Committee,197587,Attila ARA-KOVÁCS,Member,2022-01-20,
Subcommittee on Security and Defence,SEDE,Subcommittee,197587,Attila ARA-KOVÁCS,Member,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,197587,Attila ARA-KOVÁCS,Substitute,2019-07-02,2022-01-19
Delegation for Northern Cooperation and for Relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area Joint Parliamentary Committee,DEEA,Delegation,197587,Attila ARA-KOVÁCS,Substitute,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197587,Attila ARA-KOVÁCS,Substitute,2022-01-20,
Subcommittee on Human Rights,DROI,Subcommittee,124936,Maria ARENA,Chair,2019-07-10,2022-01-19
Subcommittee on Human Rights,DROI,Subcommittee,124936,Maria ARENA,Chair,2022-01-20,2023-01-10
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,124936,Maria ARENA,Vice-Chair,2021-05-19,
Subcommittee on Human Rights,DROI,Subcommittee,124936,Maria ARENA,Member,2019-07-02,2019-07-09
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,124936,Maria ARENA,Member,2019-07-02,2021-05-18
Committee on Foreign Affairs,AFET,Committee,124936,Maria ARENA,Member,2019-07-02,2022-01-19
Delegation for Relations with the Pan-African Parliament,DPAP,Delegation,124936,Maria ARENA,Member,2019-07-02,
Conference of Committee Chairs,CCC,Political Body,124936,Maria ARENA,Member,2019-07-10,2023-01-10
Special Committee on Beating Cancer,BECA,Special Committee,124936,Maria ARENA,Member,2020-09-14,2022-03-23
Committee on Foreign Affairs,AFET,Committee,124936,Maria ARENA,Member,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124936,Maria ARENA,Member,2022-05-18,
Subcommittee on Human Rights,DROI,Subcommittee,124936,Maria ARENA,Member,2023-01-11,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124936,Maria ARENA,Substitute,2019-07-02,2022-01-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124936,Maria ARENA,Substitute,2022-01-20,2022-05-17
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,124936,Maria ARENA,Substitute,2022-03-24,2023-07-18
Committee on the Internal Market and Consumer Protection,IMCO,Committee,96808,Pablo ARIAS ECHEVERRÍA,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,96808,Pablo ARIAS ECHEVERRÍA,Member,2019-07-02,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,96808,Pablo ARIAS ECHEVERRÍA,Member,2022-01-20,
Committee on Transport and Tourism,TRAN,Committee,96808,Pablo ARIAS ECHEVERRÍA,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Countries of the Andean Community,DAND,Delegation,96808,Pablo ARIAS ECHEVERRÍA,Substitute,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,96808,Pablo ARIAS ECHEVERRÍA,Substitute,2019-07-02,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,96808,Pablo ARIAS ECHEVERRÍA,Substitute,2020-09-14,2022-03-23
Committee on Transport and Tourism,TRAN,Committee,96808,Pablo ARIAS ECHEVERRÍA,Substitute,2022-01-20,
Committee on Regional Development,REGI,Committee,24922,Pascal ARIMONT,Member,2019-07-02,2022-01-19
Delegation for Relations with Australia and New Zealand,DANZ,Delegation,24922,Pascal ARIMONT,Member,2019-07-02,
Committee on Legal Affairs,JURI,Committee,24922,Pascal ARIMONT,Member,2021-03-24,2022-01-19
Committee on Regional Development,REGI,Committee,24922,Pascal ARIMONT,Member,2022-01-20,
Committee on Legal Affairs,JURI,Committee,24922,Pascal ARIMONT,Member,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,24922,Pascal ARIMONT,Substitute,2019-07-02,2021-03-23
"Committee on Industry, Research and Energy",ITRE,Committee,24922,Pascal ARIMONT,Substitute,2019-07-02,2022-01-19
Delegation for Relations with South Africa,D-ZA,Delegation,24922,Pascal ARIMONT,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,24922,Pascal ARIMONT,Substitute,2022-01-20,
Special Committee on Beating Cancer,BECA,Special Committee,197492,Bartosz ARŁUKOWICZ,Chair,2020-09-23,2022-03-23
Subcommittee on Public Health,SANT,Subcommittee,197492,Bartosz ARŁUKOWICZ,Chair,2023-03-23,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197492,Bartosz ARŁUKOWICZ,Member,2019-07-02,2022-01-19
Delegation for Relations with the Countries of Central America,DCAM,Delegation,197492,Bartosz ARŁUKOWICZ,Member,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,197492,Bartosz ARŁUKOWICZ,Member,2019-07-02,
Special Committee on Beating Cancer,BECA,Special Committee,197492,Bartosz ARŁUKOWICZ,Member,2020-09-14,2020-09-22
Conference of Committee Chairs,CCC,Political Body,197492,Bartosz ARŁUKOWICZ,Member,2020-09-23,2022-03-23
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197492,Bartosz ARŁUKOWICZ,Member,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,197492,Bartosz ARŁUKOWICZ,Member,2022-03-24,2023-07-18
Subcommittee on Public Health,SANT,Subcommittee,197492,Bartosz ARŁUKOWICZ,Member,2023-03-15,2023-03-22
Conference of Committee Chairs,CCC,Political Body,197492,Bartosz ARŁUKOWICZ,Member,2023-03-23,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197492,Bartosz ARŁUKOWICZ,Substitute,2019-07-02,2022-01-19
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,197492,Bartosz ARŁUKOWICZ,Substitute,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197492,Bartosz ARŁUKOWICZ,Substitute,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,197492,Bartosz ARŁUKOWICZ,Substitute,2022-03-24,2023-07-18
Committee on Budgets,BUDG,Committee,197664,Clotilde ARMAND,Member,2019-07-02,2020-11-03
Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee,D-RS,Delegation,197664,Clotilde ARMAND,Member,2019-07-02,2020-11-03
Committee on Transport and Tourism,TRAN,Committee,197664,Clotilde ARMAND,Substitute,2019-07-02,2020-11-03
Delegation to the EU-Albania Stabilisation and Association Parliamentary Committee,D-AL,Delegation,197664,Clotilde ARMAND,Substitute,2019-07-02,2020-11-03
Special Committee on Beating Cancer,BECA,Special Committee,197664,Clotilde ARMAND,Substitute,2020-09-14,2020-11-03
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197701,Konstantinos ARVANITIS,Member,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197701,Konstantinos ARVANITIS,Member,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197701,Konstantinos ARVANITIS,Member,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197701,Konstantinos ARVANITIS,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Türkiye Joint Parliamentary Committee,D-TR,Delegation,197701,Konstantinos ARVANITIS,Substitute,2019-07-02,
Delegation for Relations with Iraq,D-IQ,Delegation,197701,Konstantinos ARVANITIS,Substitute,2019-07-02,
Committee on Employment and Social Affairs,EMPL,Committee,197701,Konstantinos ARVANITIS,Substitute,2022-01-20,
Committee on International Trade,INTA,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Vice-Chair,2019-07-10,2022-01-19
Committee on International Trade,INTA,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Vice-Chair,2022-01-20,2022-01-23
Committee on International Trade,INTA,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Vice-Chair,2022-01-25,
Committee on International Trade,INTA,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Member,2019-07-02,2019-07-09
Committee on Petitions,PETI,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Member,2019-07-02,2020-07-07
Committee on Development,DEVE,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Member,2020-02-12,2022-01-19
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,197695,Anna-Michelle ASIMAKOPOULOU,Member,2020-09-14,2022-03-23
Delegation for Relations with Israel,D-IL,Delegation,197695,Anna-Michelle ASIMAKOPOULOU,Member,2021-03-24,
Committee on Development,DEVE,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Member,2022-01-20,2022-05-17
Committee on Economic and Monetary Affairs,ECON,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Member,2022-05-18,
Delegation for Relations with Israel,D-IL,Delegation,197695,Anna-Michelle ASIMAKOPOULOU,Substitute,2019-07-02,2021-03-23
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Substitute,2019-07-02,2022-01-19
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,197695,Anna-Michelle ASIMAKOPOULOU,Substitute,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Substitute,2021-03-24,2022-01-19
Committee on Foreign Affairs,AFET,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Substitute,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Substitute,2022-01-20,
Committee on Budgets,BUDG,Committee,197695,Anna-Michelle ASIMAKOPOULOU,Substitute,2022-05-20,
Committee on Legal Affairs,JURI,Committee,197533,Manon AUBRY,Member,2019-07-02,2022-01-19
Conference of Presidents,COP,Political Body,197533,Manon AUBRY,Member,2019-07-02,
Delegation to the Cariforum-EU Parliamentary Committee,DCAR,Delegation,197533,Manon AUBRY,Member,2019-07-02,
Subcommittee on Tax Matters,FISC,Subcommittee,197533,Manon AUBRY,Member,2020-09-14,2022-01-19
Committee on Legal Affairs,JURI,Committee,197533,Manon AUBRY,Member,2022-01-20,
Subcommittee on Tax Matters,FISC,Subcommittee,197533,Manon AUBRY,Member,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,197533,Manon AUBRY,Member,2022-09-12,
Committee on Development,DEVE,Committee,197533,Manon AUBRY,Substitute,2019-07-02,2022-01-19
Committee on Economic and Monetary Affairs,ECON,Committee,197533,Manon AUBRY,Substitute,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197533,Manon AUBRY,Substitute,2019-07-02,
Committee on Economic and Monetary Affairs,ECON,Committee,197533,Manon AUBRY,Substitute,2022-01-20,2022-09-11
Committee on Development,DEVE,Committee,197533,Manon AUBRY,Substitute,2022-01-20,
Delegation for Relations with Palestine,DPAL,Delegation,28161,Margrete AUKEN,Vice-Chair,2019-09-26,
Committee on Petitions,PETI,Committee,28161,Margrete AUKEN,Vice-Chair,2022-05-16,2022-10-16
Delegation for Relations with Palestine,DPAL,Delegation,28161,Margrete AUKEN,Member,2019-07-02,2019-09-25
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,28161,Margrete AUKEN,Member,2019-07-02,2022-01-19
Committee on Petitions,PETI,Committee,28161,Margrete AUKEN,Member,2019-07-02,2022-01-19
Committee on Petitions,PETI,Committee,28161,Margrete AUKEN,Member,2022-01-20,2022-05-15
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,28161,Margrete AUKEN,Member,2022-01-20,
Committee on Petitions,PETI,Committee,28161,Margrete AUKEN,Member,2022-10-17,
Committee on Constitutional Affairs,AFCO,Committee,28161,Margrete AUKEN,Substitute,2019-07-02,2020-02-09
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,28161,Margrete AUKEN,Substitute,2019-07-02,
Committee on International Trade,INTA,Committee,28161,Margrete AUKEN,Substitute,2020-02-10,2020-10-14
Subcommittee on Public Health,SANT,Subcommittee,28161,Margrete AUKEN,Substitute,2023-03-15,
Delegation for Relations with Afghanistan,D-AF,Delegation,124766,Petras AUŠTREVIČIUS,Chair,2019-09-26,
Delegation for Relations with Afghanistan,D-AF,Delegation,124766,Petras AUŠTREVIČIUS,Member,2019-07-02,2019-09-25
